Crop,Temperature (C),Rainfall (mm),Humidity (%),Sunlight (hours),Soil pH,Soil Nitrogen (%),Soil Phosphorus (ppm),Soil Potassium (ppm),Altitude (m),Wind Speed (m/s),Crop Yield (tons/ha)
Wheat,26.61684532,1474.660524,23.36412469,11.59316585,8.160041162,1.021787247,5.229568104,38.00308924,1528.067658,8.090661726,20.21916968
Potato,38.59729011,1916.377396,80.70392535,9.09122878,7.902847884,1.854336685,13.60050563,13.8550106,2443.052321,12.30959214,28.86089352
Wheat,39.0297641,1858.025963,33.70537944,4.554890407,5.802334004,0.536443651,6.416644411,30.4902032,260.006513,4.784634454,23.5949598
Peanut,23.51561424,891.0417924,54.7226218,9.54312287,6.545009813,2.373296304,5.5877949,22.53838095,2904.362627,8.219578249,18.59852547
Potato,35.17086848,1985.757713,48.88323738,6.976144686,7.829238882,1.181607081,18.96135988,35.75238256,1315.532381,11.26306602,26.36484476
Tomato,24.44322215,1301.49121,54.75928335,7.11694469,6.392905524,0.699969774,5.802279451,38.75624491,2549.072275,5.323577857,25.35588449
Soybean,29.3359472,1447.755818,51.39118654,6.345686174,6.485993636,1.845036912,16.28561794,33.74737131,2379.373521,1.368091546,21.86750572
Sugarcane,39.89828105,583.806732,71.59248898,8.367326161,7.617494452,2.437303888,15.32045015,35.10891623,2607.262681,12.57721146,23.41868462
Potato,16.81907516,1732.790089,69.4369559,4.650790245,5.754513142,2.473279157,10.61406194,21.11926441,2447.758723,14.20872866,25.79705038
Soybean,23.75545617,1562.271793,53.71668916,7.023900721,7.615253093,0.997448309,9.953787935,23.03355533,798.3624129,6.078031302,19.83701819
Soybean,17.97044791,676.2893702,65.44472115,9.968359034,7.250106295,2.424345097,10.62305869,18.57136259,2612.367428,3.353937578,23.21322543
Cotton,16.08501958,1886.964995,84.33810007,6.023921344,7.586233369,0.650869094,7.493231479,16.5042732,918.7571432,14.93747063,23.09434684
Maize,37.52895026,568.1695705,39.66742327,11.60329187,8.170791352,1.411313506,14.30198897,18.32143549,604.9574212,6.955476074,16.57483061
Rice,21.64844812,1040.517643,38.1964904,7.625926775,5.596947853,1.059527014,11.16810081,28.08345646,849.3250454,1.997776878,11.60135845
Barley,38.74499783,1588.579263,62.93906372,7.34594429,8.29818545,2.232127779,5.678280052,10.79100923,1160.566932,12.15829996,27.70875299
Wheat,24.41847425,1624.36745,47.50926143,10.63331377,7.207244407,0.627023659,5.552328015,14.01556356,90.33229624,1.130385905,19.84066688
Cotton,39.99294183,1994.955256,58.88021939,10.15189932,8.33429719,2.199294781,8.710221526,23.51632406,431.0202747,14.31076541,25.44174933
Wheat,31.79251711,1427.192361,45.07139026,4.908460738,7.514719587,1.540615402,16.58477588,25.60490503,2563.935426,8.278602582,21.99479056
Tomato,29.74889743,1220.068951,49.43750451,10.27734611,7.418084071,2.110089335,18.54726588,28.51791136,2942.365039,9.121317743,23.6047187
Maize,37.60396736,1022.383201,55.97926424,10.2692241,6.689628347,1.7441734,17.93545563,38.48561871,483.8667687,13.89881438,21.70850803
Soybean,26.47839391,1970.048863,54.48326658,6.630012882,7.400202563,0.980291238,6.137949922,13.86639166,427.7352249,2.278540403,16.25391281
Potato,19.50168181,1544.752199,48.81628501,10.99454084,7.045708165,2.446220699,14.02903093,16.71547198,2474.282379,5.176239417,18.37998411
Barley,17.21756334,680.9538067,52.25451376,5.650669747,6.592809583,1.506834542,15.35592243,11.1793642,2408.260677,9.418505842,11.84666394
Wheat,21.9219412,1709.30192,72.37817833,5.476168155,6.12804797,1.240944206,12.26784478,28.54764315,1138.295237,6.938020742,23.90016808
Potato,18.32792321,1530.748258,79.11084708,9.996929856,5.591416458,2.234429962,10.31220006,21.91491498,359.3640413,11.06107809,17.13287533
Sugarcane,23.05197914,817.1720105,42.92481465,4.958097055,8.171581842,1.687184907,15.18653479,33.67513716,1520.404487,1.303804321,17.33417881
Rice,28.94355665,1379.803152,59.51209798,7.030181008,6.512340502,2.299294794,14.11332833,17.33059466,1519.830709,4.955227219,25.12900162
Cotton,17.54456182,729.2887088,37.21704099,5.285450986,6.059701072,1.070190337,7.600603929,36.90296274,286.6895497,7.867670844,12.48661601
Soybean,39.93138837,1844.915394,60.31988925,11.3391649,5.515900019,2.450134326,12.36123169,31.6868829,2471.541346,10.77685906,26.95229863
Peanut,21.99947734,1654.2394,33.0930624,6.589433891,6.776309316,1.515220757,8.636145986,13.44510474,1851.329125,4.329458299,18.18150084
Soybean,23.0160548,1390.824646,45.84613371,7.634143778,7.145809354,1.59784396,8.025956935,30.53714644,309.2109282,2.082371602,12.56436806
Tomato,29.89096852,1207.364283,48.82886399,6.790946132,8.288587433,2.161238816,19.47540366,13.7289167,2206.059052,14.07510685,17.11734129
Maize,38.16123559,1582.394826,23.36662508,10.25211585,7.983822662,2.00100385,16.99305696,34.7539803,599.894711,3.535376191,21.67717615
Soybean,22.90491456,1382.460014,67.80874444,7.61558881,7.641347365,2.299334891,14.36152316,26.19343186,1344.296792,8.662294064,19.45634626
Sugarcane,28.29643699,599.9286686,36.03177736,8.342794485,6.794584429,1.165631572,15.95823705,30.81152822,541.855742,13.17943673,15.8859906
Sugarcane,29.32877123,1996.538924,72.6682184,9.65584369,7.835715817,0.786255971,8.068168898,31.42192247,1507.245387,11.31952938,20.90436405
Soybean,26.42500548,1405.936808,55.16018432,8.318885097,6.959072446,1.317910354,16.57822971,10.36609217,1815.405969,8.48262521,22.35287829
Cotton,35.6699707,1938.612192,43.976698,5.818807864,6.770790587,1.075859233,14.22425395,37.35557227,460.3927727,1.511919045,19.55073312
Potato,36.80309772,1898.177424,59.55932285,9.573206591,8.267498144,1.914477269,7.288085644,27.28865081,1839.809387,6.36196007,27.30262733
Potato,36.0109908,1866.029297,28.59675473,5.887248277,5.996561531,0.872641759,17.56236184,19.96439238,968.7605789,3.410934313,21.11037924
Tomato,33.6062413,808.3697126,75.14529221,8.829772254,5.8428019,1.329009168,17.95277211,37.68880695,1423.815361,7.212554671,27.02652467
Maize,21.20566107,1366.447931,31.58593222,4.271033282,6.434419513,2.060991415,9.163807589,16.60291642,677.4083138,7.727605236,19.60737341
Tomato,18.71656819,1121.936186,25.97447677,11.97499401,7.006585031,1.690770035,6.006147161,32.49881411,669.2214996,13.47081434,11.93388195
Wheat,15.9137417,1208.100418,59.53887933,4.525669115,7.82658285,1.406577669,12.86585404,23.22288241,1232.25103,8.39460497,13.88186537
Wheat,23.35907028,613.2550457,72.72723545,6.178414838,8.192291229,1.553156933,17.01124657,39.36794307,2527.377135,13.0049064,20.03413351
Tomato,20.54930405,846.6121949,67.03249205,4.157684302,5.812325746,2.099832171,7.678169931,29.58238324,752.6392041,1.491620891,14.7102122
Potato,35.17125372,1943.973978,86.10868079,5.12865479,6.719176925,1.147980122,6.303875224,28.99722325,2220.918609,12.72192143,23.1893981
Maize,29.57603902,1132.136826,82.48701978,10.53954849,6.525452055,1.018846867,10.69538612,27.70884828,840.7877404,9.362233618,21.69985607
Tomato,25.90316323,941.6986393,86.39173149,10.10884635,5.920339527,2.236935952,12.31146797,36.83656681,2409.573005,6.378202567,18.95677724
Tomato,28.54085537,1450.21733,38.05213798,5.114848593,8.00479071,2.468804361,12.88535273,15.15037858,853.3066132,0.275860148,21.95326468
Cotton,35.37636071,1247.13613,24.70227799,7.241984704,6.992394682,1.940405163,6.598680952,14.20055616,827.8672178,3.997475901,19.35914062
Rice,30.01292151,1497.555012,32.2759895,11.31529557,6.756311575,1.266277056,12.78376558,11.408979,540.5359378,11.07050425,13.73724748
Soybean,34.27464814,602.374558,78.59552935,7.497547171,8.246541032,1.943065722,14.15607001,38.47920391,1220.115651,14.31130405,18.76993782
Potato,20.37350946,546.7747026,38.3584831,8.760623446,5.65427744,1.492732494,13.95264273,20.02731672,2324.191001,1.598973797,11.27959899
Wheat,25.31983877,1557.388325,61.88002408,7.677452102,5.727800231,0.655530688,5.035090859,39.03098165,65.49876475,1.54640619,18.09607747
Wheat,18.42046577,1925.356031,51.22040411,5.481063431,7.125702842,2.245891672,15.9833733,34.19683444,1993.410932,10.38414847,24.22360387
Tomato,37.58409532,1469.997379,68.5222648,4.412766453,7.509752394,0.588330875,13.82395635,39.98060499,1689.629415,7.098151771,22.72975048
Cotton,33.27559179,788.8985417,28.06974149,7.374101278,7.886025514,1.990129096,5.82323922,23.65431055,1591.181999,9.668199759,18.38974532
Potato,20.75022093,680.8503287,25.38672411,9.570310207,6.519624891,1.949533543,5.980345112,19.45871013,1641.499313,11.86084747,12.01723039
Rice,28.00420275,1140.225585,81.36657645,7.340048672,6.885828552,2.480682627,5.003562854,15.56418729,1182.693475,13.98884864,16.98317728
Soybean,16.3170959,632.8151159,22.63177412,7.838250615,7.242271622,1.043373942,10.97431076,12.75098005,1042.292868,7.837787875,13.92845087
Wheat,17.76185283,1031.933236,40.10672942,6.370464964,6.200823253,0.584186379,5.268109021,39.63167169,1311.930745,5.764899707,17.61709721
Peanut,34.94973305,888.4739774,61.19879603,11.85864412,8.152596934,1.701596893,18.55585951,39.67554729,2242.890828,0.974796142,22.62464783
Barley,30.19341987,1269.032767,36.14688682,5.412224256,6.161458627,0.872876524,16.6937671,20.50375778,220.6358959,14.53653945,20.85046527
Maize,29.93185181,1287.547251,38.21633576,8.121983395,6.973559023,2.492671552,18.46154222,23.90142245,1887.66528,11.21807406,15.0653978
Soybean,29.5021552,637.2302561,81.42226038,6.124800341,5.888544764,2.27749616,19.33477247,35.86382852,2438.07242,9.82862971,23.28237336
Rice,25.21133033,1059.032776,38.18276486,9.78736091,6.987627205,0.662092432,8.302748029,30.49776291,274.5860355,12.76810371,16.40368921
Maize,35.61702415,1021.713812,67.46113068,8.525855712,6.301084811,2.257259973,16.96139032,29.75355504,2559.216101,13.00941301,25.93510231
Tomato,38.25225876,658.7511407,68.92935166,5.513772318,8.144911398,2.422630576,11.98205013,36.37214441,65.17825373,12.29920376,18.05146845
Sugarcane,19.0189974,1726.950536,78.24939246,8.05974187,5.519157615,1.074076266,14.25390378,39.43558534,1913.849905,3.897053716,24.56255258
Potato,35.46698551,692.6730771,39.83400638,4.14742175,6.796722352,2.180243005,10.88226817,15.3849197,2273.41156,11.83210473,14.88992033
Soybean,16.69592648,951.4453504,69.57204621,4.538804812,7.246511381,1.191766114,14.31373277,11.37226101,2621.033578,14.60233454,23.20989795
Soybean,31.18934109,1391.593789,46.85285823,4.525009157,7.964538842,1.243667058,17.28178465,17.57526249,53.03696554,2.384074249,18.11660751
Soybean,25.65453256,1177.080536,31.45366748,10.35847639,7.581046677,0.941539226,6.235715684,30.41497906,1980.808082,4.098892905,22.4884464
Potato,25.80837003,1915.42388,49.38091218,9.108207581,6.692783194,1.048430405,19.75966472,22.28002019,2687.592651,3.449319088,19.85459178
Wheat,31.29167063,1052.789516,80.50507749,7.785679254,8.404580284,0.871051031,18.02934752,33.29790558,2324.219442,12.67174842,27.0198949
Maize,34.9199457,941.25196,83.82852245,11.74009011,6.056376624,1.424194582,5.018477527,27.94981795,1841.554022,3.713099334,24.70255369
Tomato,19.02063673,1477.2792,42.81478248,8.722111511,6.799740247,2.468702815,7.24370964,23.9379579,2057.347048,5.933176258,22.99259803
Barley,22.29156447,1542.472829,80.2085678,10.23880791,5.618856476,1.461013895,6.573952676,17.26135048,2960.65465,2.137433144,23.41864703
Barley,20.2587395,1019.024851,74.30633151,11.52990003,5.717248816,1.568484412,18.23800229,12.47525603,2482.316438,5.367020264,19.15801609
Barley,29.18852121,1534.197454,76.04106894,5.601201954,6.002447747,0.709135681,14.54645374,31.19427179,143.1791272,14.04318369,17.47021359
Tomato,32.72651299,1806.453686,69.98608525,10.41382466,6.518350578,2.129650227,6.201722696,36.84449968,1665.39751,12.25946655,24.62455492
Maize,16.01885265,745.9992215,50.70250515,9.798612479,7.279835945,1.800588372,12.18918393,28.47226066,1020.601442,7.05273889,18.29628792
Sugarcane,25.84138335,565.4924866,31.31707809,4.166889114,7.459789058,1.164629251,13.13717954,24.7983054,290.5031442,6.048920417,10.81859431
Barley,15.76631256,886.5243328,52.38360697,10.94618004,7.681507209,1.985413042,11.38240002,20.37804978,1144.564351,14.81474346,11.69422334
Wheat,27.8498967,1382.087567,22.0576112,7.164121359,7.318566141,1.695447131,16.89434142,29.65028016,2976.793283,4.257817929,17.70878499
Maize,30.57416459,1447.34033,71.31791157,5.052541481,7.647474894,2.318065041,7.695246633,17.12629975,2915.615527,2.714654291,26.92772081
Tomato,21.18077686,1806.124852,51.17136785,8.118538831,6.577700108,1.685901703,7.452858089,21.7324461,2909.766351,3.872001491,22.66791084
Wheat,34.33682814,696.3104911,87.88747316,7.630316331,6.20815139,0.646993495,7.546368576,25.59321846,1044.15937,12.43325049,21.55277064
Soybean,29.69710928,1922.875032,37.67694475,6.874005983,6.63807577,1.711076315,10.3509808,26.00535776,2356.281473,10.58078391,20.89398858
Barley,20.14603025,667.8794291,38.88247281,4.456694849,7.093508584,2.373211385,5.59015311,13.66329742,1383.987133,14.00812526,11.92582798
Wheat,29.61676751,1532.311799,47.81652919,7.839176653,7.557903208,0.53475958,9.846959856,39.19293244,1761.331078,3.813368698,21.69097277
Sugarcane,31.67160644,709.4768821,22.09815129,6.463439533,7.614042288,0.903706904,15.1014865,39.09736138,327.0071116,10.08903177,14.92312427
Cotton,39.08367082,882.9597871,66.31426453,11.8290503,6.622890301,0.535031982,8.662209356,34.92631574,2600.596066,11.52779047,20.47155866
Tomato,32.23816878,1514.770079,35.09726067,9.271083762,6.681593217,1.802465954,6.598895455,29.73535914,2998.270491,0.723180583,26.2373403
Tomato,39.83342343,1628.641644,26.33371867,6.309484764,5.827328895,1.801023296,16.47786297,37.77024493,1342.608422,13.52063474,24.93911366
Sugarcane,25.88958287,1726.751324,28.41463388,8.355912784,5.517275981,1.14917166,10.49692302,21.88518075,2101.62826,5.828371519,18.26987671
Wheat,28.64217221,1166.629179,21.02669399,8.696493662,6.005333155,1.785151938,16.39016492,25.01335927,1649.972812,14.27217839,20.51707898
Cotton,35.34415721,663.3775128,30.42942992,8.212990378,6.238208976,1.45339095,10.91547986,26.48242715,2253.283363,10.73236361,18.36586601
Cotton,19.89444964,511.3443125,65.32322999,11.18424439,6.23044689,2.35406909,5.904010854,38.0330808,1087.286927,1.521312427,17.60648977
Cotton,22.12182255,960.9349474,76.21181285,8.313290213,6.433923097,1.720667567,15.74226011,18.17872002,1269.969849,1.8282914,16.68228221
Peanut,34.99452739,776.8776943,40.66948025,10.34725807,6.05568534,2.335504978,11.36791138,12.61116888,2456.458498,5.602645246,19.59132353
Sugarcane,30.94963014,1272.762756,61.54769984,10.3499508,7.43981774,0.849546886,10.41158779,37.17673314,2321.336866,8.349555869,20.75913891
Soybean,21.87015089,1733.921478,49.66167776,9.340399194,5.786605942,1.747718649,11.77651518,27.5982539,545.6419128,11.05310617,22.75141993
Sugarcane,28.38395255,767.6689478,41.85902502,5.841969347,6.118558494,1.775921587,8.853257715,28.96046458,222.4411116,2.126615903,13.60117695
Sugarcane,32.37861385,1106.478152,49.97397304,9.740782125,7.577308454,2.482511987,6.925914342,13.12328948,2186.799511,8.675803755,18.06639466
Soybean,17.14145624,1841.286312,33.43071273,6.586972497,6.179969207,1.209992612,6.041357641,25.57179373,249.4570626,12.00534762,13.12899933
Cotton,21.77868591,1389.217987,67.60923518,5.846633513,6.870575935,0.880649726,5.785083137,21.3542927,1120.685602,14.93220736,18.83357768
Soybean,16.50355857,1343.445224,87.03376992,5.402423539,7.570014672,0.901867377,13.03741527,12.90029349,1378.594262,11.34244993,18.79807769
Potato,34.88624902,1890.766729,36.42494573,7.194527326,5.95724804,2.484967004,18.90501452,26.19871391,2533.998218,7.814369659,24.11623834
Rice,34.69754971,1797.029288,62.59404889,8.054707455,5.977912062,0.626218066,6.764735427,16.820719,1057.939781,5.713642883,21.12774111
Tomato,28.84505602,958.286466,47.7887062,7.577620324,7.301783,1.531358855,18.7908796,24.90890449,2976.866144,12.77137437,17.613091
Wheat,17.90915995,1726.174563,46.64363054,11.02379456,8.10417007,2.1118508,16.85045654,19.14037417,288.711885,6.044702681,14.81779603
Rice,20.59036086,1935.984332,60.11290003,11.46184592,7.225490051,1.45870888,9.705915368,28.19112833,460.6341726,13.47392441,24.10088692
Soybean,27.56415191,1097.994542,30.24617945,6.940275378,5.704516928,0.551623814,7.027494337,38.89345335,1671.112131,14.48733242,16.76264444
Soybean,25.98779222,658.4970264,64.85784203,5.72830546,7.358763865,1.800402185,7.280372797,11.84048881,2353.246679,6.897006357,14.23490375
Rice,16.44451402,1542.552843,88.85752477,5.913440834,5.926748106,0.742769879,9.549127214,13.03137433,2091.875958,0.934376972,21.63426556
Sugarcane,20.72236512,848.9683078,35.45618408,5.390020765,7.467171018,2.19603177,15.86476205,33.76280901,1244.155366,9.811136931,14.16991448
Barley,35.68844739,1600.421571,73.85134255,4.088250115,6.748461995,1.462688303,5.287884152,17.79439626,2292.854978,2.056645586,24.48537689
Wheat,23.08750987,1751.455049,64.05091642,5.590850222,5.69385004,0.585266419,10.57112851,17.9755341,1955.965864,7.490007525,18.7577264
Cotton,27.20602843,725.072997,42.72731488,9.898856619,6.928054388,1.25177657,10.91714418,23.78340305,2365.798804,13.38127033,22.78355196
Wheat,31.46730366,1914.246712,76.62184231,4.611334876,6.338103142,2.36063777,8.795876492,33.43511271,2484.139978,7.431781552,24.60110607
Barley,30.91674205,1420.900377,24.66564284,8.147264176,5.950507002,1.974867537,12.68332881,30.40683338,172.9350568,1.271880241,19.31917458
Maize,16.78141819,518.1627129,86.95509788,9.900066876,6.559754226,1.093071163,10.24554845,33.23960594,2001.043303,2.777933518,16.71831495
Cotton,28.74040109,1745.801685,24.80989828,7.394375087,5.74785299,1.529315173,18.48351236,33.47454774,722.1351318,14.63986274,20.22042454
Maize,18.03466045,1422.519452,74.22436464,9.151234028,7.0909064,0.583902447,19.52733166,33.96142575,913.8250083,14.69955494,22.01497655
Cotton,38.00742953,1281.152213,63.15498088,5.253107496,5.631206878,0.721615924,13.97797364,12.85035097,1159.179025,8.251379107,20.53473148
Rice,38.57689594,861.0390677,28.50509634,5.579763919,8.160774701,1.791621625,9.288601839,34.47840817,2591.041489,12.69771508,23.86028649
Rice,30.90176909,831.5950572,88.48780952,9.985535248,7.173439677,0.861189196,5.807873105,19.60179498,2271.902641,4.039969475,23.72010191
Rice,17.69859287,1527.947024,26.43096214,11.72103794,6.96518239,0.801352215,10.13575454,22.40249348,2286.645783,11.15135679,18.29436064
Barley,29.12554982,1533.327953,81.13260411,9.090330832,7.783364611,0.82014327,11.92336212,10.27994859,777.7026503,10.89692573,27.52721518
Potato,19.84884668,1819.724729,66.02922189,6.48743144,7.727044152,2.130236769,14.22467361,30.6365233,1157.016718,8.08043501,21.52586495
Peanut,34.024769,552.9670324,72.20136479,5.619844481,8.37422044,1.235881503,9.903974245,14.46664151,951.5324357,13.14976143,24.55959077
Soybean,24.63439708,1465.04777,74.62798433,5.737672782,5.913468697,1.826084009,5.028198253,15.35117753,135.760572,2.503276768,16.29604531
Soybean,25.05817812,1811.393706,55.70767987,9.787238125,5.812412074,0.950877511,15.54415161,11.58411881,1485.463104,8.990534485,21.9767886
Maize,27.45639206,615.5874187,24.09856505,6.67390655,7.854690931,1.915361869,16.82922447,25.51807169,1348.587044,2.211787901,13.37809973
Sugarcane,20.89643998,1057.133003,24.37795588,10.41093533,7.799765572,1.96723166,9.491652657,15.20440223,1930.78213,7.442495762,12.17657058
Barley,39.7781608,1620.829382,71.79904707,11.60250202,6.108809103,1.63109993,19.69470073,14.95882333,2115.74328,8.78715219,27.14404663
Barley,27.95196916,948.0883604,85.84754716,6.074374071,6.788970438,2.245460501,17.6290035,15.58304254,2417.797764,6.872803301,22.62982859
Barley,30.77926615,574.7630417,83.27393312,11.27512154,7.84063919,0.514058408,5.859203766,16.75671107,437.480754,5.982540446,24.50307781
Tomato,38.91536553,603.4370245,23.99383048,6.257496598,6.285117051,0.993957598,18.59381871,17.486386,852.2516921,11.39097394,15.76326165
Barley,16.63415394,1231.356791,22.35295201,4.501225628,8.21931236,0.778490742,12.98631023,22.33286808,1074.662812,13.49750019,8.851091674
Potato,28.70801459,691.9823128,81.749493,7.147582773,7.983605126,2.075426031,14.3663817,24.83443394,2939.674979,2.174476086,25.11804142
Cotton,29.13325636,1195.89873,88.04037307,8.868218182,6.548519116,0.72819157,7.268702431,16.7595079,790.351651,12.75924087,22.84386904
Wheat,39.51292055,841.1142438,48.27845134,8.340366427,7.875099965,1.597677313,14.19350241,16.78441155,2548.410248,6.429458205,17.87912302
Barley,36.24938429,1503.533506,52.36068927,7.294124333,7.452920401,1.590863739,5.934096588,25.37507946,2428.890671,6.888598164,18.42941543
Wheat,20.03409455,887.9312523,31.52944474,6.641720519,7.770254517,1.538771719,8.073219112,36.33490234,2644.766472,13.05867638,13.92691392
Tomato,29.00455646,1626.09426,59.05865171,8.420108918,5.78245573,1.187326385,9.23646348,21.72185097,2405.115355,5.578990019,21.95568674
Rice,17.3351993,1161.608237,33.69264911,5.493786366,5.782108313,1.213341948,16.36222827,18.29325072,971.4298506,9.640119865,11.44668729
Potato,28.00476308,1171.40441,59.04741344,5.328274507,7.340419416,1.226201473,18.45779511,15.0656262,1545.800756,8.971689441,15.17030822
Potato,37.34974275,1481.438828,30.64729983,7.522587347,7.345894075,0.66692817,18.23624553,34.10810606,1540.359982,14.50689923,20.21050629
Sugarcane,18.06084746,1587.778322,42.61078389,11.97662526,8.439347374,1.812268036,6.947396734,30.60582993,324.4399351,0.440462387,20.7993105
Peanut,16.98516462,1597.244736,33.11883609,10.86541643,7.957190542,1.58158751,15.65364198,19.4305034,1439.945302,12.32455347,16.79206617
Cotton,21.35804953,1728.882657,81.58753398,8.2034793,6.233019822,0.725886417,6.307692017,31.57232342,1289.350247,13.58039811,25.0871935
Rice,33.72065842,1476.721377,63.46499972,6.818999573,8.024342659,1.442574335,19.68657407,29.02426415,422.4809876,10.14266343,20.52727176
Potato,15.09542835,1522.504224,31.6992408,9.242259278,8.475227852,0.645341743,6.156170179,20.21140278,2605.840217,3.232948032,15.55064825
Cotton,15.82973386,955.9196019,65.72139534,11.50643855,8.113613447,2.032129553,16.82671015,29.9495471,817.8462298,13.60792546,20.10876093
Sugarcane,19.22702676,1084.639081,46.56520324,5.813843063,6.64483582,0.757697424,11.19141694,34.07062987,1463.256686,0.270001334,16.27108727
Peanut,39.15608527,691.1809391,69.53818284,11.78221058,7.978117155,1.89863075,17.59191364,39.4539608,1882.966267,8.387772102,25.53629409
Tomato,22.03802996,1809.130759,27.88062733,9.62948782,7.12209543,0.69306894,8.628407424,10.37212109,1432.865498,4.518978911,18.18081393
Maize,20.65878736,1595.369221,61.91658075,4.51593017,8.131718371,2.254523526,9.956120058,20.2121753,2967.633657,9.392642574,21.50202438
Wheat,22.13225846,1143.77389,38.74436728,10.31328677,7.220048037,1.81765014,8.784608748,16.60675904,1490.705155,11.06348624,17.10476154
Tomato,31.73000657,1743.930199,81.52852302,8.574178816,7.052339055,1.360854821,9.754198817,23.03787883,2332.944984,9.028851465,29.68782945
Barley,30.17723947,1446.96133,61.41880136,9.621070185,6.212300405,1.524727555,6.563372042,21.53533983,1488.617852,9.783363893,26.05770294
Rice,26.82242832,1975.760469,38.82712621,7.255775277,8.174440047,0.505842065,5.596489475,28.12215031,2726.771486,3.582849906,21.21470331
